client_group_0,6,4,8,6
client_group_1,5,4,8,6
client_group_2,8,5,8,6
client_group_4,6,4,8,6
client_group_3,6,5,8,6
client_group_5,6,4,8,6
client_group_7,8,5,8,6
client_group_8,5,5,8,6
client_group_9,8,3,8,6
client_group_6,7,7,8,6
client_group_10,5,7,8,6
client_group_11,6,6,8,6
client_group_13,8,2,8,6
client_group_12,5,6,8,6
client_group_18,8,2,8,6
client_group_19,7,2,8,6
client_group_14,7,7,8,6
client_group_16,7,6,8,6
client_group_17,6,6,8,6
client_group_15,7,8,8,6
client_group_22,7,3,8,6
client_group_23,9,3,8,6
client_group_20,7,6,8,6
client_group_21,7,6,8,6
client_group_24,9,5,8,6
client_group_25,6,5,8,6
client_group_26,5,5,8,6
client_group_27,6,5,8,6
client_group_0,7,5,8,6
client_group_1,5,4,8,6
client_group_2,7,4,8,6
client_group_3,7,3,8,6
client_group_4,7,4,8,6
client_group_6,9,3,8,6
client_group_8,6,1,8,6
client_group_7,5,3,8,6
client_group_5,7,7,8,6
client_group_9,6,5,8,6
client_group_10,5,4,8,6
client_group_11,5,5,8,6
client_group_12,9,4,8,6
client_group_14,8,3,8,6
client_group_13,6,5,8,6
client_group_16,6,2,8,6
client_group_15,7,6,8,6
client_group_17,7,4,8,6
client_group_18,8,4,8,6
client_group_19,7,2,8,6
client_group_20,6,4,8,6
client_group_21,6,5,8,6
client_group_22,5,3,8,6
client_group_23,9,3,8,6
client_group_24,8,4,8,6
client_group_25,6,5,8,6
client_group_26,7,7,8,6
client_group_27,8,6,8,6
client_group_28,7,4,8,6
client_group_29,5,4,8,6
client_group_30,8,3,8,6
client_group_31,8,4,8,6
client_group_32,7,5,8,6
client_group_33,6,6,8,6
client_group_34,5,7,8,6
client_group_35,9,4,8,6
client_group_36,6,4,8,6
client_group_37,4,2,8,6
client_group_39,7,1,8,6
client_group_38,6,6,8,6
client_group_40,5,1,8,6
client_group_41,7,5,8,6
client_group_42,6,5,8,6
client_group_43,8,3,8,6
client_group_44,8,3,8,6
client_group_46,7,1,8,6
client_group_45,6,5,8,6
client_group_47,8,3,8,6
client_group_48,7,2,8,6
client_group_50,7,1,8,6
client_group_49,6,4,8,6
client_group_51,6,4,8,6
client_group_52,8,2,8,6
client_group_53,5,2,8,6
client_group_54,6,4,8,6
client_group_55,8,1,8,6
client_group_58,7,2,8,6
client_group_56,5,6,8,6
client_group_57,7,5,8,6
client_group_59,9,3,8,6
client_group_65,7,1,8,6
client_group_63,9,3,8,6
client_group_61,8,4,8,6
client_group_64,7,3,8,6
client_group_60,6,6,8,6
client_group_62,7,5,8,6
client_group_1,9,3,8,6
client_group_2,7,3,8,6
client_group_0,5,6,8,6
client_group_3,6,5,8,6
client_group_4,8,3,8,6
client_group_5,7,7,8,6
client_group_0,6,2,8,6
client_group_1,7,4,8,6
